artist_name,artist_url,event_datetime,event_venue.region,event_url,event_venue.url,event_venue.city,event_venue.latitude,event_venue.longitude,event_venue.name,event_id,event_venue.id
Chris de Burgh,http://www.bandsintown.com/ChrisDeBurgh,2011-04-04T20:00:00,,http://www.bandsintown.com/event/3194473?app_id=epfl,http://www.bandsintown.com/venue/771843,Zurich,47.4116099,8.5516563,"Hallenstadion, Zurich",3194473,771843
Deerhunter,http://www.bandsintown.com/Deerhunter,2011-04-04T20:00:00,LU,http://www.bandsintown.com/event/4110575?app_id=epfl,http://www.bandsintown.com/venue/433386,Kriens,47.0327682,8.2969799,Südpol,4110575,433386
LOWER DENS,http://www.bandsintown.com/LowerDens,2011-04-04T20:00:00,LU,http://www.bandsintown.com/event/4110575?app_id=epfl,http://www.bandsintown.com/venue/433386,Kriens,47.0327682,8.2969799,Südpol,4110575,433386
Geoff Berner,http://www.bandsintown.com/GeoffBerner,2011-04-04T20:00:00,25,http://www.bandsintown.com/event/4125424?app_id=epfl,http://www.bandsintown.com/venue/203096,Zurich,47.3666667,8.55,El Lokal,4125424,203096
Brother,http://www.bandsintown.com/Brother,2011-04-04T21:00:00,Switzerland,http://www.bandsintown.com/event/4214862?app_id=epfl,http://www.bandsintown.com/venue/48122,Zurich,47.362215,8.522239,Abart,4214862,48122
Meat Beat Manifesto,http://www.bandsintown.com/MeatBeatManifesto,2011-04-04T19:00:00,Switzerland,http://www.bandsintown.com/event/4223003?app_id=epfl,http://www.bandsintown.com/venue/356220,St. Gallen,47.42638,9.37369,Grabenhalle,4223003,356220
Cindy Santos,http://www.bandsintown.com/CindySantos,2011-04-05T18:00:00,3960 Sierr,http://www.bandsintown.com/event/4257406?app_id=epfl,http://www.bandsintown.com/venue/1062045,Sierre,46.2846125,7.5317201,canal9,4257406,1062045
Ahmad Jamal,http://www.bandsintown.com/AhmadJamal,2011-04-05T19:30:00,BE,http://www.bandsintown.com/event/4262782?app_id=epfl,http://www.bandsintown.com/venue/306299,Berne,46.96103,7.43941,Marians JazzRoom,4262782,306299
Deerhunter,http://www.bandsintown.com/Deerhunter,2011-04-05T19:00:00,25,http://www.bandsintown.com/event/4169441?app_id=epfl,http://www.bandsintown.com/venue/772420,Zurich,47.343448,8.535557,Rote fabrik,4169441,772420
LOWER DENS,http://www.bandsintown.com/LowerDens,2011-04-05T19:00:00,25,http://www.bandsintown.com/event/4169441?app_id=epfl,http://www.bandsintown.com/venue/772420,Zurich,47.343448,8.535557,Rote fabrik,4169441,772420
Aloe Blacc,http://www.bandsintown.com/AloeBlacc,2011-04-05T19:00:00,Switzerland,http://www.bandsintown.com/event/4020219?app_id=epfl,http://www.bandsintown.com/venue/44952,Zurich,47.371722,8.536468,Kaufleuten,4020219,44952
Stornoway,http://www.bandsintown.com/Stornoway,2011-04-05T19:30:00,BS,http://www.bandsintown.com/event/4121516?app_id=epfl,http://www.bandsintown.com/venue/358211,Basel,47.5638084,7.5911298,Parterre,4121516,358211
LachFestival,http://www.bandsintown.com/LachFestival,2011-04-05T20:00:00,,http://www.bandsintown.com/event/4262783?app_id=epfl,http://www.bandsintown.com/venue/1064339,Gelterkinden,47.465309,7.856131,"Kino-Theater ""Marabu""",4262783,1064339
Kliby,http://www.bandsintown.com/Kliby,2011-04-05T20:00:00,,http://www.bandsintown.com/event/4262783?app_id=epfl,http://www.bandsintown.com/venue/1064339,Gelterkinden,47.465309,7.856131,"Kino-Theater ""Marabu""",4262783,1064339
Caroline,http://www.bandsintown.com/Caroline,2011-04-05T20:00:00,,http://www.bandsintown.com/event/4262783?app_id=epfl,http://www.bandsintown.com/venue/1064339,Gelterkinden,47.465309,7.856131,"Kino-Theater ""Marabu""",4262783,1064339
dr Hugi,http://www.bandsintown.com/DrHugi,2011-04-05T20:00:00,,http://www.bandsintown.com/event/4262783?app_id=epfl,http://www.bandsintown.com/venue/1064339,Gelterkinden,47.465309,7.856131,"Kino-Theater ""Marabu""",4262783,1064339
Ricky,http://www.bandsintown.com/Ricky,2011-04-05T20:00:00,,http://www.bandsintown.com/event/4262783?app_id=epfl,http://www.bandsintown.com/venue/1064339,Gelterkinden,47.465309,7.856131,"Kino-Theater ""Marabu""",4262783,1064339
Fredy Schär,http://www.bandsintown.com/FredySch%C3%A4r,2011-04-05T20:00:00,,http://www.bandsintown.com/event/4262783?app_id=epfl,http://www.bandsintown.com/venue/1064339,Gelterkinden,47.465309,7.856131,"Kino-Theater ""Marabu""",4262783,1064339
Christina Stürmer,http://www.bandsintown.com/ChristinaSt%C3%BCrmer,2011-04-05T20:00:00,01,http://www.bandsintown.com/event/4262784?app_id=epfl,http://www.bandsintown.com/venue/43060,Pratteln,47.5166667,7.6833333,Z7,4262784,43060
Rätus Flisch,http://www.bandsintown.com/R%C3%A4tusFlisch,2011-04-05T20:30:00,25,http://www.bandsintown.com/event/4262785?app_id=epfl,http://www.bandsintown.com/venue/10674,Zurich,47.3666667,8.55,Moods,4262785,10674
Dan le Sac vs. Scroobius Pip,http://www.bandsintown.com/DanLeSacVs.ScroobiusPip,2011-04-05T21:00:00,25,http://www.bandsintown.com/event/4262786?app_id=epfl,http://www.bandsintown.com/venue/390920,Zurich,47.374458,8.53397,Stall 6,4262786,390920
Dub Spencer,http://www.bandsintown.com/DubSpencer,2011-04-05T21:00:00,ZH,http://www.bandsintown.com/event/4262787?app_id=epfl,http://www.bandsintown.com/venue/697731,Zurich,47.3882217,8.5194702,Exil,4262787,697731
Trance Hill,http://www.bandsintown.com/TranceHill,2011-04-05T21:00:00,ZH,http://www.bandsintown.com/event/4262787?app_id=epfl,http://www.bandsintown.com/venue/697731,Zurich,47.3882217,8.5194702,Exil,4262787,697731
The Chapman Family,http://www.bandsintown.com/TheChapmanFamily,2011-04-05T21:00:00,ZH,http://www.bandsintown.com/event/4262788?app_id=epfl,http://www.bandsintown.com/venue/293622,Zurich,47.3663788,8.54673,Mascotte,4262788,293622
