,Artist,City,Date,Genre,Venue,origin
205,Fusion Square Garden, Zürich,2016-12-31,"Hip Hop, R'n'B",Moods,
206,Morò Mauro Corchia, Zürich,2016-12-31,"Hip Hop, R'n'B",Moods,
207,Mättu Urech, Zürich,2016-12-31,"Hip Hop, R'n'B",Moods,
208,Dominique Montandon, Zürich,2016-12-31,"Hip Hop, R'n'B",Moods,
209,Marcel Suk, Zürich,2016-12-31,"Hip Hop, R'n'B",Moods,
210,Gianni Lanzilotti, Zürich,2016-12-31,"Hip Hop, R'n'B",Moods,
211,Roland Wäger, Zürich,2016-12-31,"Hip Hop, R'n'B",Moods,
212,Les Voda & Dave Phillips, Zürich,2016-12-31,Pop,El Lokal,
213,DJ Member-Berries, Zürich,2016-12-31,Pop,El Lokal,
214,DJs Ecko, Zug,2016-12-31,"Hip Hop, R'n'B",Fabric,
215,Spino, Zug,2016-12-31,"Hip Hop, R'n'B",Fabric,
216,Robin Tune, Zug,2016-12-31,"Hip Hop, R'n'B",Fabric,
217,DJs Tomahawk, Zug,2016-12-31,"Hip Hop, R'n'B",Industrie 45,
218,Selecta Iray, Zug,2016-12-31,"Hip Hop, R'n'B",Industrie 45,
219,Rising Fyah, Zug,2016-12-31,"Hip Hop, R'n'B",Industrie 45,
220,Jahcriss u.a., Zug,2016-12-31,"Hip Hop, R'n'B",Industrie 45,
221,Silvester Big Bash Davos, Zürich,2016-12-31,"Ragga, Reggae, African Music, Dancehall",Meylenstein Bar & Lounge,
222,Live: Jose De Rico, Zürich,2016-12-31,"Ragga, Reggae, African Music, Dancehall",Komplex 457,
223,Loco Escrito, Zürich,2016-12-31,"Ragga, Reggae, African Music, Dancehall",Komplex 457,
224,Zimmer by Muevete & Pepe-J, Zürich,2016-12-31,"Ragga, Reggae, African Music, Dancehall",Komplex 457,
225,Klub by Monkey Groove, Zürich,2016-12-31,"Ragga, Reggae, African Music, Dancehall",Komplex 457,
226,DJ Troja, Kirchberg,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Schlagertempel,
227,Sleeping Sun, Pratteln,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Z7,
228,Motörblast, Pratteln,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Z7,
229,The Neighbour of the Beast, Pratteln,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Z7,
230,Sad, Pratteln,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Z7,
231,Living Theory, Pratteln,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Z7,
