artist_name,artist_url,event_venue.longitude,event_id,event_venue.id,event_venue.city,event_venue.region,event_venue.latitude,event_datetime,event_url,event_venue.url,event_venue.name
weiherer,http://www.bandsintown.com/weiherer,7.12731,3973368,994160,Alle,Switzerland,47.424541,2010-10-27T20:00:00,http://www.bandsintown.com/event/3973368?app_id=epfl,http://www.bandsintown.com/venue/994160,Tour 2010
FatCat Records,http://www.bandsintown.com/FatcatRecords,6.142701,3900946,977883,Geneva,Switzerland,46.208358,2010-10-28T13:00:00,http://www.bandsintown.com/event/3900946?app_id=epfl,http://www.bandsintown.com/venue/977883,TBC
Simon,http://www.bandsintown.com/Simon,7.151038,3833442,275156,Fribourg,Etr,46.79489,2010-10-28T19:00:00,http://www.bandsintown.com/event/3833442?app_id=epfl,http://www.bandsintown.com/venue/275156,Fri-Son
Skye and Ross from Morcheeba,http://www.bandsintown.com/SkyeAndRossFromMorcheeba,7.151038,3833442,275156,Fribourg,Etr,46.79489,2010-10-28T19:00:00,http://www.bandsintown.com/event/3833442?app_id=epfl,http://www.bandsintown.com/venue/275156,Fri-Son
Christophe Willem,http://www.bandsintown.com/ChristopheWillem,6.904712,3924966,343180,Montreux,Etr,46.439312,2010-10-28T19:15:00,http://www.bandsintown.com/event/3924966?app_id=epfl,http://www.bandsintown.com/venue/343180,Auditorium Stravinski
Marc Hype,http://www.bandsintown.com/MarcHype,6.1666667,3806132,954373,Geneva,07,46.2,2010-10-28T22:00:00,http://www.bandsintown.com/event/3806132?app_id=epfl,http://www.bandsintown.com/venue/954373,Chat Noir
Pedra-Preta,http://www.bandsintown.com/Pedra-Preta,7.4666667,6405371,1751891,Bern,05,46.9166667,2010-10-28T19:00:00,http://www.bandsintown.com/event/6405371?app_id=epfl,http://www.bandsintown.com/venue/1751891,BeJazz/Vidmarhallen
Movie Star Junkies,http://www.bandsintown.com/MovieStarJunkies,7.446495,3764939,767858,Berne,Berne,46.958934,2010-10-28T20:00:00,http://www.bandsintown.com/event/3764939?app_id=epfl,http://www.bandsintown.com/venue/767858,Café Kairo
Darknight,http://www.bandsintown.com/Darknight,8.736,3605256,892288,First,Switzerland,47.438019,2010-10-28T08:00:00,http://www.bandsintown.com/event/3605256?app_id=epfl,http://www.bandsintown.com/venue/892288,In Studio
Esperanza Spalding,http://www.bandsintown.com/EsperanzaSpalding,8.55,3833198,170010,Zurich,25,47.3666667,2010-10-28T19:00:00,http://www.bandsintown.com/event/3833198?app_id=epfl,http://www.bandsintown.com/venue/170010,Gessnerallee
Chaos-Theater Oropax,http://www.bandsintown.com/Chaos-theaterOropax,8.5359888,3299040,497860,Zurich,ZH,47.3713799,2010-10-28T19:00:00,http://www.bandsintown.com/event/3299040?app_id=epfl,http://www.bandsintown.com/venue/497860,Kaufleutensaal
Beggar Joe,http://www.bandsintown.com/BeggarJoe,8.5212297,3891055,975591,Zurich,ZH,47.3899193,2010-10-28T19:30:00,http://www.bandsintown.com/event/3891055?app_id=epfl,http://www.bandsintown.com/venue/975591,Escherwyss Club
Esperanza Spalding Chamber Music Society,http://www.bandsintown.com/EsperanzaSpaldingChamberMusicSociety,8.53397,3667632,912341,Zurich,25,47.374458,2010-10-28T19:30:00,http://www.bandsintown.com/event/3667632?app_id=epfl,http://www.bandsintown.com/venue/912341,Theaterhaus Gessnerallee
Monty Alexander,http://www.bandsintown.com/MontyAlexander,8.53397,3667632,912341,Zurich,25,47.374458,2010-10-28T19:30:00,http://www.bandsintown.com/event/3667632?app_id=epfl,http://www.bandsintown.com/venue/912341,Theaterhaus Gessnerallee
