name,genre,origin,ambigous_result,no_result
Gangrenomity,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
King Pepe & Le Rex,Pop,,,
Raphael Walsers Gangart,"Jazz, Blues, Soul",,,
Tobias Meier,"Jazz, Blues, Soul",,,
Marc Méan,"Jazz, Blues, Soul",,,
Jonas Ruther,"Jazz, Blues, Soul",,,
Jaël,Pop,,,
Cédric Monnier,Pop,,,
Domi Schreiber,Pop,,,
Maryam Hammad,Pop,,,
Aurèle Louis,Pop,,,
Akustiktour,Pop,,,
Heidi Happy,Pop,,,
Ephrem Lüchinger,Pop,,,
Christmas Tour,Pop,,,
Divine,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Kissin Black,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Bubaran,"Jazz, Blues, Soul",,,
Mats Spillmann,"Jazz, Blues, Soul",,,
Bernhard Bamert,"Jazz, Blues, Soul",,,
Lionel Friedli,"Jazz, Blues, Soul",,,
Trauffer,Pop,,,
DJ Mingo,"Ragga, Reggae, African Music, Dancehall",,,
Tribu Project,Pop,,,
DJs A-Train,"Hip Hop, R'n'B",,,
Gro,"Hip Hop, R'n'B",,,
Jonty Harrison,Electronic,,,
Japan Suicide,"Rock, Indie, Punk, Heavy Metal, Gothic",Japan,,
Cocaine Piss,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Kataxnia,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Devis World Of Sound,Pop,,,
Etienne Merula & Etienne,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ CNG & Stimulus,"Hip Hop, R'n'B",,,
The Peppermint Tea Group,Pop,,,
Marco Mengoni,Pop,,,
Guidance,Electronic,United States,,
The Jackson Singers,Pop,,,
Christina Jaccard,Pop,,,
Daniel Pezzotti,Pop,,,
Andrea Wiesli,Pop,,,
Karacan Kombo,"Jazz, Blues, Soul",,,
Awesome Arnold,Pop,,,
Two and Yuna,Pop,,,
Chantal Krebs,Pop,,,
Luzian Graber,Pop,,,
XTR Human,Electronic,,,
DJ Pumuckel,Electronic,,,
Jaël Akustiktrio feat. Vokalensemble Suppléments Musicaux,Pop,,,
Full Steam Jazzband,"Jazz, Blues, Soul",,,
Guy Krneta & Hausquartet,"Jazz, Blues, Soul",,,
Isa Wiss,"Jazz, Blues, Soul",,,
Christoph Baumann,"Jazz, Blues, Soul",,,
Hämi Hämmerli,"Jazz, Blues, Soul",,,
Tony Renold,"Jazz, Blues, Soul",,,
Literaturkonzert,"Jazz, Blues, Soul",,,
DJ Hasu,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Tenzking,"Hip Hop, R'n'B",,,
Mwp,"Hip Hop, R'n'B",,,
Ali Baba Sound feat. Junior Indian & Realert,"Hip Hop, R'n'B",India,,
DJs Pfund,"Hip Hop, R'n'B",,,
Certified,"Hip Hop, R'n'B",,,
DJs Lee van Dowski,"Hip Hop, R'n'B",,,
Captain Teis,"Hip Hop, R'n'B",,,
DJ Mykel Rozenberg,"Hip Hop, R'n'B",,,
DJs Tomstone,"Hip Hop, R'n'B",,,
Skilly,"Hip Hop, R'n'B",,,
Philly,"Hip Hop, R'n'B",,,
DJs Cochano,"Hip Hop, R'n'B",,,
Boombaztic,"Hip Hop, R'n'B",,,
Don Juan,"Hip Hop, R'n'B",,,
Larissa Bretscher,Pop,,,
Christian Wyss,Pop,,,
Jeremias Keller,Pop,,,
DJs Two-M,"Hip Hop, R'n'B",,,
U.R.S,"Hip Hop, R'n'B",,,
Sebastian,"Hip Hop, R'n'B",,,
Effie's Beast,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Das Pferd,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Melt,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Raimondo P.,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Tomi,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Drïzella,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Dieter Gröflin,"Jazz, Blues, Soul",,,
Peter Wicki ,"Jazz, Blues, Soul",,,
Sebastian Saraceno,"Jazz, Blues, Soul",,,
Toni Saraceno,"Jazz, Blues, Soul",,,
Normahl,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Feinwaschmittel,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
B&W Chocolate Howlers,"Jazz, Blues, Soul",,,
DJs Urban Hands,"Hip Hop, R'n'B",,,
Livin,"Hip Hop, R'n'B",,,
DJs Alex Dallas,"Hip Hop, R'n'B",,,
John Doe,"Hip Hop, R'n'B",,,
DJ Laslow,"Hip Hop, R'n'B",,,
Hosted by DJ LXL,"Hip Hop, R'n'B",,,
Rae Spoon,Pop,,,
