artist_name,artist_url,event_venue.longitude,event_url,event_venue.region,event_datetime,event_venue.id,event_venue.url,event_venue.latitude,event_venue.name,event_id,event_venue.city
Friska viljor,http://www.bandsintown.com/FriskaViljor,7.58768,http://www.bandsintown.com/event/464444?app_id=epfl,Switzerland,2007-05-24T00:00:00,169942,http://www.bandsintown.com/venue/169942,47.54874,Das Schiff,464444,Basel-City
"""Balelec Festival""",http://www.bandsintown.com/%22balelecFestival%22,6.6666667,http://www.bandsintown.com/event/464489?app_id=epfl,23,2007-05-25T00:00:00,275157,http://www.bandsintown.com/venue/275157,46.5333333,Ballec Festival,464489,Lausanne
Ian Carey,http://www.bandsintown.com/IanCarey,6.625613,http://www.bandsintown.com/event/361881?app_id=epfl,Switzerland,2007-05-25T20:00:00,119776,http://www.bandsintown.com/venue/119776,46.523702,CULT CLUB,361881,Lausanne
Wovenhand,http://www.bandsintown.com/Wovenhand,7.440461,http://www.bandsintown.com/event/429830?app_id=epfl,,2007-05-25T21:00:00,80385,http://www.bandsintown.com/venue/80385,46.948432,ISC,429830,Berne
Born to Lose,http://www.bandsintown.com/BornToLose,8.5393044,http://www.bandsintown.com/event/430401?app_id=epfl,,2007-05-25T20:00:00,46886,http://www.bandsintown.com/venue/46886,47.3833038,Dynamo Werk 21,430401,Zürich
Lauren Flax,http://www.bandsintown.com/LaurenFlax,7.9833333,http://www.bandsintown.com/event/360468?app_id=epfl,22,2007-05-25T22:00:00,118775,http://www.bandsintown.com/venue/118775,46.3166667,El Azra Clubnight,360468,Brig
Trivium,http://www.bandsintown.com/Trivium,7.151038,http://www.bandsintown.com/event/464467?app_id=epfl,Etr,2007-05-26T00:00:00,275156,http://www.bandsintown.com/venue/275156,46.79489,Fri-Son,464467,Fribourg
Wovenhand,http://www.bandsintown.com/Wovenhand,7.072902,http://www.bandsintown.com/event/429831?app_id=epfl,Wallis,2007-05-26T21:00:00,80386,http://www.bandsintown.com/venue/80386,46.101375,Les Caves Du Manor,429831,Martigny
Explosions in the Sky,http://www.bandsintown.com/ExplosionsInTheSky,6.6666667,http://www.bandsintown.com/event/299753?app_id=epfl,23,2007-05-27T20:00:00,19267,http://www.bandsintown.com/venue/19267,46.5333333,Romandie,299753,Lausanne
Trivium,http://www.bandsintown.com/Trivium,8.55,http://www.bandsintown.com/event/464585?app_id=epfl,25,2007-05-27T00:00:00,170006,http://www.bandsintown.com/venue/170006,47.3666667,Rohrstofflager,464585,Zurich
Common Enemy,http://www.bandsintown.com/CommonEnemy,8.55,http://www.bandsintown.com/event/336181?app_id=epfl,25,2007-05-27T20:00:00,105737,http://www.bandsintown.com/venue/105737,47.3666667,Kalkbreite,336181,Zurich
Marta Topferova,http://www.bandsintown.com/MartaTopferova,8.55,http://www.bandsintown.com/event/464586?app_id=epfl,25,2007-05-29T00:00:00,10674,http://www.bandsintown.com/venue/10674,47.3666667,Moods,464586,Zurich
Wovenhand,http://www.bandsintown.com/Wovenhand,8.53604,http://www.bandsintown.com/event/429833?app_id=epfl,ZH,2007-05-29T21:00:00,80388,http://www.bandsintown.com/venue/80388,47.34312,Ziegel oh Lac,429833,Zurich
Anathema ,http://www.bandsintown.com/Anathema,7.6833333,http://www.bandsintown.com/event/464548?app_id=epfl,01,2007-05-31T00:00:00,43060,http://www.bandsintown.com/venue/43060,47.5166667,Z7,464548,Pratteln
