club_adress,club_name,date,artiste
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Nov 2011",Wandler
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Nov 2011",Barbir
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Nov 2011",Meikel
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Nov 2011",Timoteo
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 15 Oct 2011",Mihai Popoviciu
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 15 Oct 2011",Marco De Rosa
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 15 Oct 2011",Timoteo
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 15 Oct 2011",Mickail
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 24 Sep 2011",Adriatique
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 6 Mar 2010",Martin Landsky
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 6 Mar 2010",Dan Curtin
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 6 Mar 2010",Sobuth & Weiss
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 6 Mar 2010",Juen & Bach
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 15 May 1993",Jeff Mills
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 15 May 1993",Max Durante
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 15 May 1993",Colin Dale
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 15 May 1993",DJ Hell
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 15 May 1993",Paul Van Dyk
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 15 May 1993",Pino Arduini
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 29 Oct 2016",Oliver Huntemann
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 29 Oct 2016",Be Svendsen
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 29 Oct 2016",Manon
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 29 Oct 2016",Moosfiebr
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 29 Oct 2016",Mar Dean
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",Adil Hiani
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",Argenis Brito
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",Dandy Jack
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",Margaret Dygas
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",Masomenos
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",San Proper
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",Thomas Melchior
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",Vadim Svoboda
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",Yes'in
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",Eli Verveine
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",Barbir
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 13 Aug 2016",Nicola Kazimir
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 28 May 2016",Anthea
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 28 May 2016",John Dimas
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 28 May 2016",Fernando Costantini
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 28 May 2016",Pazkal
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 28 May 2016",Dario La Mazza
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 30 Apr 2016",Ezikiel
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 30 Apr 2016",DoubtingThomas
"Zollstrasse 80, 8005 Zürich", Amboss Rampe,"Sat, 16 Apr 2016",Midnight Operator
