ambigous_result,genre,name,no_result,origin
0,,Freitag Ticket,1,
0,,Summerstage 2012 Patent Ochsner The Nits Anna Rossinelli MÜNCHENSTEIN,1,
0,,Summerstage 2012 PLATIN Patent Ochsner The Nits Anna Rossinelli MÜNCHENSTEIN,1,
0,,Summerstage 2012 GOLD Patent Ochsner The Nits Anna Rossinelli MÜNCHENSTEIN,1,
0,alternative dance,The Whitest Boy Alive,0,
0,,Boris WHY,1,
0,,MALTED MILK,0,
0,,"Operngala ""Notte Italiana"" GSTAAD",1,
0,,"Operngala ""Notte Italiana""",1,
0,,Y7,1,
0,,Q8,0,
0,,Sche Sche,1,
0,,Denkmal,0,
0,,THE LOCAL YOCALS,1,
0,,Sophos,0,
1,,A.DJ.,0,
0,chillwave,Memoryhouse,0,
0,,YOKKO,0,
0,alternative rock,Grandaddy,0,
0,,Gloria Bulsara,1,
0,,Jason Lytle,0,
0,,Kejeblos,0,
0,dubstep,Magnetic Man,0,
0,deep disco house,Mano Le Tough,0,
0,,Dimi3,0,
0,,Felipe ACEVEDO,1,
1,,Butano,0,
0,,BEN POOLE,0,
0,acoustic blues,ANA POPOVIC,0,
0,,THE CYBORGS,0,
0,,El Txef A,0,
0,deep soul house,DJ Qu,0,
0,,REVEREND BLACK NETWORK,0,
0,brostep,Nero,0,
0,,Adriano S.,1,
1,,Adolpho,0,
1,,Franky,0,
0,,24 august,1,
0,,Alex Kostic,0,
0,,25 august,1,
0,,Zach Neyone,1,
0,deep groove house,Bojac,0,
0,,Amient,0,
0,,Mathias Strahle ,1,
0,,Andre H,0,
0,minimal tech house,Argy,0,
1,,Rino,0,
0,,Marc Bach,0,
0,,Polonium 88/79,1,
0,,Summerstage 2012 Barclay James Harvest Johannes Oerding Züri West MÜNCHENSTEIN,1,
0,,Summerstage 2012 Johannes Oerding Züri West MÜNCHENSTEIN,1,
0,,Summerstage 2012 PLATIN Johannes Oerding Züri West MÜNCHENSTEIN,1,
0,,Summerstage 2012 GOLD Johannes Oerding Züri West MÜNCHENSTEIN,1,
0,,Lilibiggs Kinderkonzerte Windisch WINDISCH,1,
0,,Lilibiggs Kinderkonzerte Windisch,1,
0,,DJ Sub Zero,0,
1,,Me & My Monkey,0,
0,,Valentin Akçag - Violinist,1,
1,,Jose Parra,0,
1,,Sergio Mesa,0,
1,,Rockwool,0,
0,,Renè S,1,
1,,Dema,0,
0,,Mad Sheer Khan,0,
0,,This is a Grandaddy reunion show!,1,
0,french indie pop,VON PARIAHS,0,
0,,Tea Waveswords,1,
0,,MEENA CRYLE,0,
0,,RICHARD KOECHLI,0,
1,,BIG DEZ,0,
0,acoustic blues,MIKE ZITO,0,
0,,CISCO HERZHAFT,0,
0,acoustic blues,SHEMEKIA COPELAND,0,
0,,T. BLUES MOB,1,
0,big room,Yves V,0,
0,,The GypsiesOpen Air Konzert BIEL,1,
0,,Projections vidéo,1,
0,,Scott Sloane,1,
0,,DJ Carsika,1,
1,,Alphatronic,0,
0,,Matinee Des Jeunes Etoiles Vi GSTAAD,1,
0,,Matinee Des Jeunes Etoiles Vi,1,
0,big room,MICHAEL CANITROT,0,
0,edm,Nadia Ali,0,
0,,Lovegoers,1,
0,,SCI+TEC Digital Audio,1,
0,,Onlee,0,
0,minimal tech house,SIOPIS,0,
1,,Slick Steve & the Gangsters,0,
0,,Dj G-Hoffman,1,
0,,Gyzmo adekwatt,1,
0,,Andrey PUSHKAREV,0,
1,,Her Band,0,
0,,her Band  ZÜRICH,1,
0,,SIERRE BLUES BAND,1,
0,ambient,Porn Sword Tobacco,0,
0,,CasserolBand,0,
0,,StPrex Classics 2012,1,
0,,Rigi Folkloretag VITZNAU,1,
0,folk punk,Dave Hause,0,
0,,Frantic Percussion Ensemble,0,
0,,THE HILLYBILLY MOON EXPLOSION ZÜRICH,1,
0,kiwi rock,Fat Freddy's Drop,0,
0,,Foster The People ZÜRICH,1,
0,,Fat Freddy's Drop ZÜRICH,1,
0,,THE HILLBILLY MOON EXPLOSION ZÜRICH,1,
0,alternative dance,Foster the People,0,
0,,"""Resonance"" World Premiere ZÜRICH",1,
0,,PUMA MIMI UND PAVLOV ZÜRICH,1,
0,folk-pop,Of Monsters and Men,0,
1,,of Monsters,0,
1,,B7,0,
1,,V1,0,
0,bassline,T2,0,
0,,Social Distortion ZÜRICH,1,
0,,FIJI ZÜRICH,1,
0,,FILEWILE und FIJI ZÜRICH,1,
1,,ROLF,0,
0,comic,Me First and the Gimme Gimmes,0,
0,boy band,V6,0,
0,,Risotto am Feuer,1,
0,,V5,0,
0,,K33,0,
0,,K32,1,
0,,K31,1,
0,icelandic pop,Lay Low,0,
1,,V9,0,
1,,V10,0,
0,,Menuhin's Heritage Ii,1,
0,,The Stepkids,0,
0,,SICKRET,0,
0,,Nils Reimann,1,
0,,Beyond The Vortex LUZERN,1,
0,,Beyond The Vortex,0,
0,tango,Campo,0,
0,,Gob Squad,0,
1,,Royal Philharmonic Orchestra London,0,
0,,Dj Guz,0,
0,,Laris Alexander,0,
0,,Denise Allen Band,0,
0,microhouse,Matthew Herbert,0,
0,,Kay-Zee,0,
0,rock-and-roll,James Intveld,0,
0,,Mishi Berczelly,1,
0,,Compagnie 111,1,
0,bass music,Mosca,0,
1,,Cio,0,
0,deep disco house,Pol_On,0,
1,,Phil Fuldner,0,
0,,Sebastian Plössner,0,
0,minimal dub,Psyk,0,
1,,Fights And Fires,0,
1,,JAMES MURPHY,0,
0,,The Opticalz ( DJ Crew),1,
1,,Marla,0,
0,electroacoustic improvisation,Loris,0,
0,,Eintagespass Freitag,1,
0,brostep,Tantrum Desire,0,
0,,Polina Play,0,
1,,Spencer,0,
0,,Zweitagespass Freitag/Samstag,1,
0,,umlala,1,
0,classical,London Symphony Orchestra,0,
0,,V14,1,
0,,Kid Ink BIEL,1,
0,,DYSON C,1,
1,,DJ Cheeba,0,
0,,CREAKY PRETTY FLY NIGHT,1,
0,,Bishop Basterds,1,
0,,Biky Bike,1,
0,,DJ C-Cut,1,
0,,Matinee Des Jeunes Etoiles Vii,1,
0,,Matinee Des Jeunes Etoiles Vii GSTAAD,1,
0,,Bigeneric/Marco Repetto,1,
0,,K41,1,
0,,Dreams of Waves II BÜLACH,1,
1,,Op9,0,
0,,K42,0,
0,,DREAMS OF WAVES II,1,
0,,OXSA,0,
0,anthem worship,Planetshakers,0,
0,,RADIO MENTALE,1,
0,,RUDY DECELIERE,1,
1,,ECHOLOT,0,
1,,Anita,0,
1,,Co.mini,0,
0,,K43,0,
0,,DJ Pila,0,
0,brutal deathcore,By The Patient,0,
0,,V18,1,
0,,Der Landstreicher,1,
0,,John Caroline,1,
0,,Eintagespass Samstag,1,
0,,Lilibiggs Kinderkonzerte Kreuzlingen,1,
0,,Lilibiggs Kinderkonzerte Kreuzlingen KREUZLINGEN,1,
0,,Steve Clash,0,
0,,klangmechanik live on reactable,1,
0,,K44,1,
1,,Dead Cat Bounce,0,
0,brostep,Document One,0,
1,,SON OF KICK,0,
1,,Tek One,0,
0,,Dga Fäu,1,
1,,JD Davis,0,
0,,SUPERSTORM,1,
0,,Capriccio Barockorchester,0,
0,,beethoven pastorale BASEL,1,
